Ingenieria Comercial Inelcom                      # Ingenieria Electronica Comercial Inelcom
Austar hang zhou                                  # Austar Technology hang zhou
Smart Empire Investments                          # Smart Empire Investments Limited
Xian Hisu Multimedia                              # Xian Hisu Multimedia Technology
Bodmann Elektronik GmbH                           # Bodmann Industries Elektronik GmbH
Showa Wire Cable                                  # Showa Electric Wire Cable
Rena Gmbh Print                                   # Rena Gmbh Print Systeme
SMA Railway GmbH                                  # SMA Railway Technology GmbH
Railway Signal Factory                            # Beijing Railway Signal Factory
Tyco AMP GmbH                                     # Tyco Electronics AMP GmbH
Shen Zhen RND                                     # Shen Zhen RND Electronic
Shadong Luneng Jicheng                            # Shadong Luneng Jicheng ElectronicsCo
Lunatone Elektronik GmbH                          # Lunatone Industrielle Elektronik GmbH
Radiation Safety Services                         # Radiation Safety Control Services
Star Link Pvt                                     # Star Link Communication Pvt
Progress Holding GmbH                             # Systems Progress Holding GmbH
HAN Sung Indonesia                                # HAN Sung Electoronics Indonesia
Olivetti SPA olteco                               # Olivetti Telecom SPA olteco
Schubert Elektronik Gmbh                          # Schubert System Elektronik Gmbh
Cross Match GmbH                                  # Cross Match Technologies GmbH
Deep Sea PLC                                      # Deep Sea Electronics PLC
Myreka Sdn Bhd                                    # Myreka Technologies Sdn Bhd
Hisense Broadband Multimedia                      # Hisense Broadband Multimedia Technology
Sichuan Tianyi Comheart                           # Sichuan Tianyi Comheart Telecomco
Hui Zhou Gaoshengda                               # Hui Zhou Gaoshengda Technology
Xia Men UnionCore                                 # Xia Men UnionCore Technology
Tecnologia Comercio Ltda                          # Tecnologia Industria Comercio Ltda
Marini Impianti srl                               # Marini Impianti Industriali srl
Krupp Atlas Gmbh                                  # Krupp Atlas Electronik Gmbh
Nokia Siemens GmbH                                # Nokia Siemens Networks GmbH
Dalian Netmoon Tech                               # Dalian Netmoon Tech Develop
Luminex Lighting Equipment                        # Luminex Lighting Control Equipment
Detlef Fink Elektronik                            # Detlef Fink Elektronik Softwareentwicklung
Bernecker Rainer Gmbh                             # Bernecker Rainer Industrieelektronic Gmbh
Day One Media                                     # Day One Digital Media Limited
Shenyang Neuera Stock                             # Shenyang Neuera Information Technology Stock
Panasonic Automotive PacificThailandCo            # Panasonic Automotive Systems Asia PacificThailandCo
Flying Pig End                                    # Flying Pig SystemsHigh End Systems
Yantai ZhiYang Scientific                         # Yantai ZhiYang Scientific technology industry
Hong Kong HKT                                     # Hong Kong Telecommunications HKT Limited
Weijiu AND Trade                                  # Shenzhen Weijiu Industry AND Trade Development
Dalian Golden Hualu                               # Dalian Golden Hualu Digital Technology
Liteon Media SBU                                  # Liteon Mobile Media Solution SBU
Kunshan ductless filtration                       # Kunshan Erlab ductless filtration system
Haitai Fangyuan High                              # Beijing Haitai Fangyuan High Technology
General Water Process                             # General Electric Water Process Technologies
Matsushita Components GmbH                        # Matsushita Electronic Components Europe GmbH
Emerson Climate Retail                            # Emerson Climate Technologies Retail Solutions
Mission dba Magma                                 # Mission Technology Group dba Magma
Shenyang Tongfang Multimedia                      # Shenyang Tongfang Multimedia Technology Company Limited
Schlumberger Retail Petroleum                     # Schlumberger Technologies Retail Petroleum Systems
Mitsubishi Heavy Mechatronics                     # Mitsubishi Heavy Industries Mechatronics Systems
ASC Standards Secretariats                        # ASC Information Technology Standards Secretariats
Huagong Genuine Optics                            # Wuhan Huagong Genuine Optics Technology
Ultimate Transportation Gmbh                      # Ultimate Europe Transportation Equipment Gmbh
